,Date1,Away_Team1,Home_Team1,Stadium1,Location1,League1,Lat_Lon1,Date2,Away_Team2,Home_Team2,Stadium2,Location2,League2,Lat_Lon2,Date3,Away_Team3,Home_Team3,Stadium3,Location3,League3,Lat_Lon3
0,2022-09-01,Rhode Island,Stony Brook,Kenneth P. LaValle Stadium,"Stony Brook, NY",FCS,"(40.9087015, -73.13960360056436)",2022-09-03,Central Connecticut,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",,,,,,,
1,2022-09-01,Mars Hill,East Tennessee State,William B. Greene Jr. Stadium,"Johnson City, TN",FCS,"(36.3134398, -82.3534728)",2022-09-03,North Carolina,Appalachian State,Kidd Brewer Stadium,"Boone, NC",FBS,"(36.2165362, -81.6746158)",,,,,,,
2,2022-09-01,Kennesaw State,Samford,Seibert Stadium,"Birmingham, AL",FCS,"(33.5206824, -86.8024326)",2022-09-03,Utah State,Alabama,Bryant-Denny Stadium,"Tuscaloosa, AL",FBS,"(33.2095614, -87.5675258)",,,,,,,
3,2022-09-01,Mississippi Valley State,Tarleton,"Memorial Stadium (Stephenville, TX)","Stephenville, TX",FCS,"(32.2191836, -98.2130634)",2022-09-03,SMU,North Texas,Apogee Stadium,"Denton, TX",FBS,"(33.1838787, -97.1413417)",,,,,,,
4,2022-09-01,Mississippi Valley State,Tarleton,"Memorial Stadium (Stephenville, TX)","Stephenville, TX",FCS,"(32.2191836, -98.2130634)",2022-09-03,Albany,Baylor,McLane Stadium,"Waco, TX",FBS,"(31.549333, -97.1466695)",,,,,,,
5,2022-09-01,North Alabama,Indiana State,"Memorial Stadium (Terre Haute, IN)","Terre Haute, IN",FCS,"(39.4667025, -87.4139119)",2022-09-02,Illinois,Indiana,"Memorial Stadium (Bloomington, IN)","Bloomington, IN",FBS,"(39.1670396, -86.5342881)",,,,,,,
6,2022-09-01,North Alabama,Indiana State,"Memorial Stadium (Terre Haute, IN)","Terre Haute, IN",FCS,"(39.4667025, -87.4139119)",2022-09-02,Illinois,Indiana,"Memorial Stadium (Bloomington, IN)","Bloomington, IN",FBS,"(39.1670396, -86.5342881)",2022-09-03 00:00:00,St. Thomas University (Fl),Butler,Bud and Jackie Sellick Bowl,"Indianapolis, IN",FCS,"(39.7683331, -86.1583502)"
7,2022-09-01,The Citadel,Campbell,Barker-Lane Stadium,"Buies Creek, NC",FCS,"(35.412332500000005, -78.73665059608209)",2022-09-02,Temple,Duke,Wallace Wade Stadium,"Durham, NC",FBS,"(35.996653, -78.9018053)",,,,,,,
8,2022-09-01,The Citadel,Campbell,Barker-Lane Stadium,"Buies Creek, NC",FCS,"(35.412332500000005, -78.73665059608209)",2022-09-02,Temple,Duke,Wallace Wade Stadium,"Durham, NC",FBS,"(35.996653, -78.9018053)",2022-09-03 00:00:00,NC State,East Carolina,Dowdy-Ficklen Stadium,"Greenville, NC",FBS,"(35.613224, -77.3724593)"
9,2022-09-01,The Citadel,Campbell,Barker-Lane Stadium,"Buies Creek, NC",FCS,"(35.412332500000005, -78.73665059608209)",2022-09-03,NC State,East Carolina,Dowdy-Ficklen Stadium,"Greenville, NC",FBS,"(35.613224, -77.3724593)",,,,,,,
10,2022-09-01,Monmouth,New Hampshire,Wildcat Stadium (NH),"Durham, NH",FCS,"(43.134564, -70.927048)",2022-09-03,Rutgers,Boston College,"Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA",FBS,"(42.3306529, -71.1661647)",,,,,,,
11,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,William & Mary,Charlotte,Jerry Richardson Stadium,"Charlotte, NC",FBS,"(35.2272086, -80.8430827)",,,,,,,
12,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,William & Mary,Charlotte,Jerry Richardson Stadium,"Charlotte, NC",FBS,"(35.2272086, -80.8430827)",2022-09-03 00:00:00,Limestone,Gardner-Webb,Ernest W. Spangler Stadium,"Boiling Springs, NC",FCS,"(35.254292, -81.6670407)"
13,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,William & Mary,Charlotte,Jerry Richardson Stadium,"Charlotte, NC",FBS,"(35.2272086, -80.8430827)",2022-09-03 00:00:00,North Carolina Central,North Carolina A&T,Bank of America Stadium,"Charlotte, NC",FCS,"(35.2272086, -80.8430827)"
14,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,William & Mary,Charlotte,Jerry Richardson Stadium,"Charlotte, NC",FBS,"(35.2272086, -80.8430827)",2022-09-03 00:00:00,North Carolina,Appalachian State,Kidd Brewer Stadium,"Boone, NC",FBS,"(36.2165362, -81.6746158)"
15,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,William & Mary,Charlotte,Jerry Richardson Stadium,"Charlotte, NC",FBS,"(35.2272086, -80.8430827)",2022-09-03 00:00:00,Georgia State,South Carolina,Williams-Brice Stadium,"Columbia, SC",FBS,"(34.0007493, -81.0343313)"
16,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,Temple,Duke,Wallace Wade Stadium,"Durham, NC",FBS,"(35.996653, -78.9018053)",,,,,,,
17,2022-09-01,VMI,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",2022-09-02,Temple,Duke,Wallace Wade Stadium,"Durham, NC",FBS,"(35.996653, -78.9018053)",2022-09-03 00:00:00,NC State,East Carolina,Dowdy-Ficklen Stadium,"Greenville, NC",FBS,"(35.613224, -77.3724593)"
